label,lon,lat
HH254,21.4275046,-30.7207743
HH255,21.4276571,-30.7207738
HH256,21.4278096,-30.7207733
HH257,21.4279621,-30.7207728
HH258,21.4281146,-30.7207723
HH259,21.4282671,-30.7207718
HH260,21.4284196,-30.7207713
HH261,21.4285724,-30.7208468
HH262,21.4287249,-30.7208463
HH263,21.4288774,-30.7208458
HH264,21.4290298,-30.7208452
HH265,21.4291823,-30.7208447
HH266,21.4269704,-30.7206619
HH267,21.4271229,-30.7206614
HH268,21.4272754,-30.7206609
HH269,21.4274279,-30.7206604
HH270,21.4275804,-30.7206599
HH271,21.4277329,-30.7206594
HH272,21.4278853,-30.7206589
HH273,21.4280378,-30.7206584
HH274,21.4281903,-30.7206579
HH275,21.4283428,-30.7206574
HH276,21.4284953,-30.7206569
HH277,21.4286481,-30.7207325
HH278,21.4288006,-30.7207319
HH279,21.4289531,-30.7207314
HH280,21.4291056,-30.7207309
HH281,21.4270462,-30.7205476
HH282,21.4271987,-30.7205471
HH283,21.4273511,-30.7205466
HH284,21.4275036,-30.7205461
HH285,21.4276561,-30.7205456
HH286,21.4278086,-30.7205451
HH287,21.4279611,-30.7205446
HH288,21.4281136,-30.7205441
HH289,21.4282661,-30.7205436
HH290,21.4284185,-30.7205431
HH291,21.4285710,-30.7205426
HH292,21.4287239,-30.7206181
HH293,21.4288763,-30.7206176
HH294,21.4290288,-30.7206171
HH295,21.4271219,-30.7204332
HH296,21.4272744,-30.7204327
HH297,21.4274269,-30.7204322
HH298,21.4275794,-30.7204317
HH299,21.4277319,-30.7204312
HH300,21.4278843,-30.7204307
HH301,21.4280368,-30.7204302
HH302,21.4281893,-30.7204297
HH303,21.4283418,-30.7204292
HH304,21.4284943,-30.7204287
HH305,21.4286468,-30.7204282
HH306,21.4287996,-30.7205037
HH307,21.4289521,-30.7205032
HH308,21.4271976,-30.7203189
HH309,21.4273501,-30.7203184
HH310,21.4275026,-30.7203179
HH311,21.4276551,-30.7203174
HH312,21.4278076,-30.7203169
HH313,21.4279601,-30.7203164
HH314,21.4281126,-30.7203159
HH315,21.4282651,-30.7203154
HH316,21.4284175,-30.7203149
HH317,21.4285700,-30.7203144
HH318,21.4287225,-30.7203139
HH319,21.4288753,-30.7203894
